Datetime,Latitude,Longitude,Height,Q,ns,Next_Lat,Next_Lon,Time_Diff,Distance,Speed,Acceleration,Turn_Rate,Road_Type
2023-11-29 04:55:24,12.782473171,77.370738591,650.2689,5,32,12.782406809,77.370671364,,10.372853899448373,10.372853899448373,,,Main Road
2023-11-29 04:55:25,12.782406809,77.370671364,650.5835,5,32,12.782340614,77.37060425,1.0,10.351034151097556,10.351034151097556,-0.02181974835081668,,Main Road
2023-11-29 04:55:26,12.782340614,77.37060425,650.8721,5,32,12.782267993,77.370527858,1.0,11.56848726124982,11.56848726124982,1.2174531101522632,0.023987187057173287,Main Road
2023-11-29 04:55:27,12.782267993,77.370527858,650.2391,5,32,12.782194063,77.370450328,1.0,11.758469582755476,11.758469582755476,0.18998232150565642,1.0546702117852078,Main Road
2023-11-29 04:55:28,12.782194063,77.370450328,647.0411,5,32,12.782101007,77.370398593,1.0,11.770347420094147,11.770347420094147,0.011877837338671426,0.0880601401183867,Main Road
2023-11-29 04:55:29,12.782101007,77.370398593,655.4893,5,32,12.782019832,77.370301149,1.0,13.897111101822754,13.897111101822754,2.1267636817286064,17.28947297098202,Service Road
2023-11-29 04:55:30,12.782019832,77.370301149,652.359,5,32,12.781941416,77.370239082,1.0,11.014933063964314,11.014933063964314,-2.8821780378584396,21.132148133897346,Service Road
2023-11-29 04:55:31,12.781941416,77.370239082,650.6784,5,32,12.781852335,77.370166633,1.0,12.642704104865874,12.642704104865874,1.6277710409015604,11.842316899671914,Service Road
2023-11-29 04:55:32,12.781852335,77.370166633,649.3088,5,32,12.781762441,77.370088059,1.0,13.13447652789602,13.13447652789602,0.49177242303014523,0.7592890920870161,Main Road
2023-11-29 04:55:33,12.781762441,77.370088059,649.3136,5,32,12.781667623,77.370001064,1.0,14.147628118484928,14.147628118484928,1.0131515905889081,2.0346246536578008,Main Road
2023-11-29 04:55:34,12.781667623,77.370001064,650.1136,5,32,12.781563849,77.369916721,1.0,14.724241108971876,14.724241108971876,0.5766129904869484,1.3803535356339296,Main Road
2023-11-29 04:55:35,12.781563849,77.369916721,651.1608,5,32,12.781469905,77.369823126,1.0,14.564729277176115,14.564729277176115,-0.15951183179576134,3.4335001151556526,Main Road
2023-11-29 04:55:36,12.781469905,77.369823126,650.6573,5,32,12.781361285,77.369721278,1.0,16.36630148274554,16.36630148274554,1.8015722055694265,5.79066326432374,Main Road
2023-11-29 04:55:37,12.781361285,77.369721278,651.3131,5,32,12.781255537,77.369619424,1.0,16.132514597681666,16.132514597681666,-0.2337868850638749,1.7362839513497192,Main Road
2023-11-29 04:55:38,12.781255537,77.369619424,652.6326,5,32,12.781149032,77.369522499,1.0,15.83424598910602,15.83424598910602,-0.29826860857564697,0.768334704444527,Main Road
2023-11-29 04:55:39,12.781149032,77.369522499,652.8678,5,32,12.781048156,77.369405128,1.0,16.965046845453493,16.965046845453493,1.1308008563474736,1.6216283839970629,Main Road
